id_hallazgo,tema,tipo_hallazgo,subtipo,variable_asunto,situacion_inicial,valor_inicial,unidad,documento_inicial,pagina_inicial,seccion_inicial,situacion_posterior,valor_posterior,documento_posterior,pagina_posterior,seccion_posterior,intervencion_dinacea,documento_autoridad,pagina_autoridad,condicion_final,numeral_resolucion,pagina_resolucion,estado_final,materialidad,interpretacion_provisional,verificacion,caveat
CHG001,agua / refrigeración,cambio de diseño,tecnología de enfriamiento,Sistema principal de refrigeración,El expediente de viabilidad 2020 exigía evaluar la gestión de efluentes derivados del sistema de enfriamiento y su afectación al Río de la Plata.,sistema con efluentes de enfriamiento,categórico,Declaracion-Viabilidad-Ambiental-de-Localizacion-CCP-Eleanor-Applications-S.R.L..pdf,1,Condiciones del EsIA,La evaluación final registra que el proyecto modificó el sistema y empleará enfriamiento con aire en vez de agua.,chillers enfriados por aire,Informe-Final.pdf,24,6.2.5 Sobre el uso del agua,DINACEA reconoce expresamente que el proyecto modificó su sistema de refrigeración respecto de lo planteado inicialmente.,Informe-Final.pdf,24,El diseño autorizado incorpora la documentación final presentada y sus condiciones.,1.a,4,cambio incorporado al proyecto autorizado,alta,"Es un cambio material de tecnología con efectos sobre agua, efluentes y energía; no debe tratarse como una simple aclaración.",verificado contra documentos indicados,"El expediente disponible no contiene en la pieza de 2020 el volumen inicial de agua, por lo que no se cuantifica aquí la reducción."
CHG002,agua / refrigeración,cambio de impacto,uso de agua,Consumo elevado de agua para enfriamiento,DINACEA describe retrospectivamente que el proyecto inicial planteaba un elevado volumen de consumo de agua para enfriamiento.,"elevado, no cuantificado en fuente disponible",agua,Informe-Final.pdf,24,6.2.5 Sobre el uso del agua,"Con el cambio a enfriamiento por aire, DINACEA señala que se elimina ese elevado volumen; el consumo final declarado es 48,1 m3/d, principalmente para usos del personal y circuito cerrado.","48,1",Informe-Final.pdf,6; 24,2.4.3 Insumos; 6.2.5,"La autoridad acepta el cambio tecnológico y utiliza 48,1 m3/d como consumo de operación.",Informe-Final.pdf,6; 24,No se impone un WUE objetivo en la Resolución.,,,cambio resuelto; indicador de eficiencia hídrica no fijado,alta,"La reducción del consumo de agua es central en la evolución del proyecto, pero el expediente no ofrece una comparación cuantitativa completa antes/después.",verificado contra documentos indicados,"No convertir 48,1 m3/d en una cifra de ahorro: falta el consumo inicial cuantificado en las fuentes provistas."
CHG003,agua / eficiencia,vacío de información,indicador WUE,Water Usage Effectiveness (WUE),No se identifica WUE cuantificado en DP/EsIA.,no identificado,adimensional o L/kWh,DP-Teros-24102023.pdf,20; 47,Sistema de enfriamiento; insumos,Tampoco se identifica un WUE objetivo o medido en el Informe Final/Resolución.,no identificado,Informe-Final.pdf; Resolucion-Ministerial-644-2024.pdf,6; 5-6,Insumos; condiciones AAO,"DINACEA exige medición anual de PUE, pero no una métrica WUE equivalente.",Informe-Final.pdf,31,Sin condición WUE identificada.,,,vacío no resuelto,media,"Hay trazabilidad del consumo de agua, pero no un indicador normalizado de eficiencia hídrica del centro de datos.",verificado contra documentos indicados,"Ausencia documental, no prueba de que el operador no mida WUE internamente."
CHG004,refrigerantes / GEI,vacío de información,refrigerante,"Tipo, carga, GWP/PCA y fugas de refrigerante","El DP menciona refrigerantes para chillers y HVAC sin especificar compuesto, carga o tasa de fuga.",no cuantificado,kg / GWP / %,DP-Teros-24102023.pdf,47,5.1 Insumos químicos,"La respuesta SIC 03 indica uso de refrigerante de bajo PCA, sin cuantificar tipo, carga, PCA ni fugas.","bajo PCA, no cuantificado",Respuestas-SIC-02-y-SIC-03.pdf,108,Respuesta SIC 03 — Sistema de refrigeración,No se identifica exigencia específica de cuantificación de fugas de refrigerante en la decisión final.,Resolucion-Ministerial-644-2024.pdf,4-6,Sin condición específica identificada.,,,vacío no resuelto,alta,Impide cuantificar emisiones fugitivas de GEI equivalentes a Scope 1 asociadas al sistema de refrigeración.,verificado contra documentos indicados,"La expresión 'bajo PCA' no permite estimar emisiones sin compuesto, carga y tasa de fuga."
CHG005,suelo / catastro,cambio administrativo explicado,padrones,Identificación catastral del predio,La viabilidad 2020 refiere a los padrones 38.309 a 38.316.,38.309–38.316,padrones,Declaracion-Viabilidad-Ambiental-de-Localizacion-CCP-Eleanor-Applications-S.R.L..pdf,1,Ubicación,"El DP 2023 refiere a 47.763, 47.827, 47.828, 47.829, 47.830, 47.831 y 47.832; explica que 38.309–38.316 fueron unificados en 47.763.",47.763; 47.827–47.832,DP-Teros-24102023.pdf,7,1.5 Ubicación y accesos; 1.6 Antecedentes,El propio DP aporta la explicación catastral.,DP-Teros-24102023.pdf,7,La Resolución autoriza los padrones finales.,,,explicado,baja,Es una evolución documental que no debe presentarse como relocalización sin evidencia adicional.,verificado contra documentos indicados,El DP explica explícitamente la unificación del conjunto original en el padrón 47.763.
CHG006,suelo,diferencia numérica,superficie de predio,Superficie total,"El DP informa 32,5 ha.","32,5",ha,DP-Teros-24102023.pdf,7,1.5 Ubicación y accesos,"El Informe Final de DINACEA resume 32,2 ha.","32,2",Informe-Final.pdf,6,2.4.4 Presencia física,"No se identifica explicación de la diferencia de 0,3 ha en el Informe Final.",Informe-Final.pdf,6,La Resolución no fija una superficie numérica en las condiciones extraídas.,,,diferencia no explicada,media,Diferencia documental pequeña pero verificable; conviene mantener ambas cifras en vez de normalizarlas silenciosamente.,verificado contra documentos indicados,"Puede responder a criterio de cómputo o actualización catastral, pero las fuentes revisadas no lo explican."
CHG007,energía,diferencia de escenario,consumo anual,Consumo máximo anual de electricidad,Respuesta SIC 01: consumo máximo al desarrollo máximo menor a 560 GWh/año; acuerdo inicial UTE hasta 420 GWh/año.,<560 / hasta 420,GWh/año,Respuesta-a-SIC-01.pdf,1-2,Respuesta SIC 01,El Informe Final adopta 420 GWh/año como consumo anual del proyecto.,420,Informe-Final.pdf,8,2.4.4 Consumo energético,DINACEA no explica expresamente por qué 420 pasa de ser acuerdo inicial a cifra de consumo anual final.,Informe-Final.pdf,8,Sin condición específica de consumo máximo.,,,diferencia de escenario no reconciliada explícitamente,alta,"No es necesariamente una contradicción: las fuentes usan horizontes/escenarios distintos, pero el expediente final no explicita la reconciliación.",verificado contra documentos indicados,No comparar 48 MW con GWh/año sin factor de carga.
CHG008,energía / PUE,aclaración tras requerimiento,PUE,PUE usado para demostrar eficiencia,"La primera respuesta usa PUE corporativo promedio 2022 de 1,10.","1,10",PUE,Respuesta-a-SIC-01.pdf,1-2,Respuesta SIC 01,"Tras SIC 03 se presenta PUE previsto específicamente para Teros de aproximadamente 1,12–1,35.","1,12–1,35",Respuestas-SIC-02-y-SIC-03.pdf,108,Respuesta SIC 03,"DINACEA pidió información específica del proyecto, no el promedio corporativo.",Solicitud-de-Informacion-Complementaria-03.pdf,1,El PGAO debe incluir procedimientos para medición anual del PUE.,5.a.i,5,resuelto con seguimiento futuro,alta,"El 1,10 corporativo no es una línea base válida para afirmar el PUE futuro de Teros.",verificado contra documentos indicados,"El rango 1,12–1,35 es previsto, no medido."
CHG009,energía / PUE,brecha regulatoria,objetivo de desempeño,Meta/límite de PUE,"Se presenta un rango previsto de 1,12–1,35.","1,12–1,35",PUE,Respuestas-SIC-02-y-SIC-03.pdf,108,Respuesta SIC 03,"La Resolución exige procedimientos para medir PUE anual, pero no fija un máximo o meta vinculante.",medición anual sin límite,Resolucion-Ministerial-644-2024.pdf,5,5.a.i,"DINACEA transforma el indicador en obligación de monitoreo, no en estándar de desempeño.",Informe-Final.pdf,31,Medición anual de PUE.,5.a.i,5,seguimiento exigido; meta no fijada,media,"Existe compromiso de medición, pero no un umbral explícito de cumplimiento en la resolución.",verificado contra documentos indicados,"No inferir que 1,35 sea un límite regulatorio."
CHG010,generadores,cambio de diseño,modelo de generador,Modelo de generadores de emergencia,La documentación inicial evaluó un modelo de generador posteriormente sustituido.,modelo original no retenido en esta matriz,modelo,DP-Teros-24102023.pdf,51-59,Emisiones / operación de emergencia,"Por problemas de cadena de suministro se selecciona KOHLER KD3500, con chimeneas de 12,2 m.","KOHLER KD3500; 12,2 m",Respuestas-SIC-02-y-SIC-03.pdf,2; 9,Introducción; Modificaciones al proyecto,El cambio obliga a rehacer análisis de calidad de aire y ruido.,Respuestas-SIC-02-y-SIC-03.pdf,2; 9,Toda variación futura requiere análisis y autorización previa.,1.h,5,cambio incorporado; verificación de equipo final pendiente para AAO,alta,"Cambio técnico material que altera factores de emisión y ruido aunque número, ubicación y potencia se declaran sin cambios.",verificado contra documentos indicados,El nombre del modelo original no se usa aquí porque no quedó verificado en esta pasada como dato autónomo.
