id_requerimiento,sic_nro,orden_en_sic,fecha_sic,id_documento_solicitud,documento_solicitud,pagina_pdf_solicitud,folio_solicitud,tema,subtema,tipo_requerimiento,requerimiento_normalizado,cita_requerimiento,id_documento_respuesta,documento_respuesta,pagina_pdf_respuesta,respuesta_normalizada,cita_respuesta,datos_nuevos_clave,cambio_proyecto_asociado,estado_respuesta_inmediata,reiterado,reiteracion_documento,pagina_reiteracion,evaluacion_final_dinacea,documento_evaluacion_final,pagina_evaluacion_final,condicion_resolucion,numeral_resolucion,pagina_pdf_resolucion,estado_final,metodo_extraccion,caveat
SIC01-1A,01,1.a,2023-11-09,DOC006,Solicitud-de-Informacion-Complementaria-01.pdf,1,679,energía,demanda eléctrica / UTE,dato + aval de tercero,Presentar el consumo máximo de energía requerido para la operación del proyecto y aval de que la demanda no afectará el servicio de UTE a terceros.,se deberá presentar el consumo máximo de energía requerido para la operación del proyecto (data center y servicios auxiliares) y el aval correspondiente de que esta demanda no afecta la calidad del servicio de suministro de energía eléctrica que presta UTE a terceros.,DOC008,Respuesta-a-SIC-01.pdf,1; 5,El proponente informa consumo máximo menor a 560 GWh/año al máximo desarrollo; acuerdo inicial de hasta 420 GWh/año. UTE informa potencia máxima requerida de 48 MW con curva plana y que no afectará el servicio a terceros.,el consumo máximo de energía requerido [...] será menor a 560 GWh/año [...] acuerdo inicial de suministro de energía con UTE para proporcionar hasta 420 GWh/año. [...] la potencia máxima requerida será de 48MW en un esquema de curva de carga plana.,<560 GWh/año máximo desarrollo; hasta 420 GWh/año acuerdo inicial; 48 MW potencia máxima UTE.,,respondido,no,,,El Informe Final consigna consumo anual de 420 GWh/año y no formula objeción sobre la capacidad de suministro de UTE.,Informe-Final.pdf,8,No se identifica condición específica sobre capacidad de suministro UTE.,,,cerrado en evaluación,SIC texto nativo + respuesta OCR + Informe Final texto nativo,"El Informe Final usa 420 GWh/año, mientras la respuesta distingue ese acuerdo inicial del máximo <560 GWh/año; conviene tratarlo como diferencia de escenario y revisarlo en CSV 05."
SIC01-1B,01,1.b,2023-11-09,DOC006,Solicitud-de-Informacion-Complementaria-01.pdf,1,679,energía,eficiencia energética / PUE,demostración técnica,Demostrar incorporación y aplicación de mejores prácticas y tecnología para uso eficiente de energía según la capacidad del data center.,el proyecto deberá demostrar como incorpora y aplica las mejores prácticas y tecnología para el uso eficiente de la energía de acuerdo a la capacidad del data center a instalar.,DOC008,Respuesta-a-SIC-01.pdf,1-2,"La primera respuesta aporta desempeño corporativo, PUE promedio 2022 de 1,10 y lineamientos ISO 50001, pero no PUE/diseño específico de Teros.","en el año 2022 el PUE promedio fue de 1,10 (teniendo en cuenta la totalidad de los centros de datos de la empresa) [...] En el centro de datos en estudio se seguirán los lineamientos de esta norma.","PUE corporativo 2022=1,10; referencia a ISO 50001.",,insuficiente / parcialmente respondido,sí,Solicitud-de-Informacion-Complementaria-03.pdf,1,"Tras SIC 03, el expediente incorpora medidas específicas de Teros y PUE previsto 1,12-1,35; DINACEA exige procedimiento para medición anual del PUE en el PGAO.",Informe-Final.pdf,8; 31-32,El PGAO debe incluir procedimientos para la medición del PUE anual.,5.a.i,5,respondido tras reiteración + condicionado a seguimiento en AAO,SIC texto nativo + respuesta OCR + Informe Final texto nativo + Resolución OCR,"El PUE 1,10 es corporativo y no debe confundirse con el PUE previsto específicamente para Teros."
SIC01-2,01,2,2023-11-09,DOC006,Solicitud-de-Informacion-Complementaria-01.pdf,1,679,aire / generadores,fichas técnicas / factores de emisión,evidencia técnica futura,"Una vez seleccionados los motores de respaldo, presentar fichas técnicas para corroborar factores de emisión y ratificar los datos de la evaluación ambiental.","una vez seleccionado el o los proveedores de los motores se requerirá contar con las fichas técnicas correspondientes, a los efectos de corroborar los factores de emisión y demás datos que permitan ratificar la validez de los datos empleados en la evaluación ambiental.",DOC008,Respuesta-a-SIC-01.pdf,2,El proponente se compromete a suministrar las fichas cuando se confirme la selección de equipos.,una vez se confirme la selección de los equipos se suministrará a la DINACEA la información correspondiente,Compromiso de entrega posterior de fichas técnicas.,En respuesta a SIC 02 se informa cambio a generadores KOHLER KD3500.,diferido / no cerrado,"sí, como condición de AAO",Informe-Final.pdf; Resolucion-Ministerial-644-2024.pdf,27-29; Resolución p.6,DINACEA deja constancia de que no fueron suministradas las fichas técnicas que respaldan las emisiones de los generadores a instalar; exige ratificación antes de AAO.,Informe-Final.pdf,27-29,Presentar fichas técnicas de los generadores de emergencia instalados que respalden la caracterización de emisiones al aire.,5.b,6,pendiente para AAO / obligación expresa,SIC texto nativo + respuesta OCR + Informe Final texto nativo + Resolución OCR,"La evaluación de aire continuó sobre flujos másicos presentados, pero la congruencia con los equipos efectivamente instalados quedó pendiente."
SIC01-3,01,3,2023-11-09,DOC006,Solicitud-de-Informacion-Complementaria-01.pdf,1,679,documentación,idioma de evaluación,aclaración administrativa,DINACEA informa que solo considerará la versión en español de la documentación para la evaluación.,solo se considerará para la evaluación de la SAAP la versión presentada en español.,DOC008,Respuesta-a-SIC-01.pdf,2,El proponente toma conocimiento de la consideración exclusiva de la versión en español.,se toma conocimiento sobre la consideración exclusiva de la versión en español de los documentos entregados para la evaluación de la SAAP.,,,cerrado,no,,,Sin observación posterior identificada.,,,,,,cerrado,SIC texto nativo + respuesta OCR,"Requerimiento administrativo, no ambiental."
SIC02-1A,02,1.a,2023-11-24,DOC007,Solicitud-de-Informacion-Complementaria-02.pdf,1,683,aire,receptor Parque de las Ciencias,ampliación de modelación,"Incluir Parque de las Ciencias fuera del predio de Eleanor Applications como receptor en modelación normal, emergencia y análisis de riesgo.","se deberá presentar los resultados de modelación en la operativa normal y de emergencia así como los resultados del análisis de riesgo, incluyendo dicha zona.",DOC010,Respuestas-SIC-02-y-SIC-03.pdf,3,El proponente inicialmente entiende pertinente excluir PDLC del análisis invocando la definición de aire ambiente del Decreto 135/021.,se entiende pertinente no incluirlo en el análisis de calidad de aire.,Justificación jurídica para excluir PDLC como receptor.,,no aceptado por DINACEA,sí,Solicitud-de-informacion-complementaria-04-e-IAR.pdf,1,"DINACEA rechaza la justificación jurídica, reitera la inclusión y luego utiliza la modelación ampliada; el Informe Final concluye cumplimiento en el área analizada incluido PDLC para varios escenarios/parámetros.",Informe-Final.pdf,15-16,No queda como requerimiento independiente porque la modelación fue incorporada antes de la decisión.,,,resuelto tras reiteración SIC 04,texto nativo + Informe Final texto nativo,Este es el principal requerimiento explícitamente considerado incompleto y reiterado por DINACEA.
SIC02-1B,02,1.b,2023-11-24,DOC007,Solicitud-de-Informacion-Complementaria-02.pdf,1,683,aire,meteorología,complemento metodológico,"Incluir caracterización de la serie meteorológica, como mínimo rosa de vientos y porcentaje de calmas.","Se debe incluir, como mínimo, la rosa de los vientos correspondiente a la serie meteorológica utilizada para la modelación, incluyendo el porcentaje de calmas.",DOC010,Respuestas-SIC-02-y-SIC-03.pdf,3-4,Se presenta caracterización de la serie meteorológica utilizada para la modelación.,se presenta la caracterización de la serie meteorológica de vientos utilizada para la modelación de calidad de aire.,Caracterización meteorológica incorporada.,,respondido,no,,,No se identifica objeción específica posterior sobre este punto.,Informe-Final.pdf,15-16,,,,cerrado / no reiterado,texto nativo,La ausencia de reiteración se toma como señal de cierre; el Informe Final no emite un pronunciamiento separado sobre la rosa de vientos.
SIC02-1C,02,1.c,2023-11-24,DOC007,Solicitud-de-Informacion-Complementaria-02.pdf,1,683,aire,escenario de operación normal,aclaración metodológica,Explicitar cómo se construyó el escenario de operación normal usado en la modelación.,se solicita que se explicite cómo fue construido el escenario cuyos resultados se presentan.,DOC010,Respuestas-SIC-02-y-SIC-03.pdf,4,"Se explica un escenario conservador por generador, 08:00-18:00, 100% de carga, para tres años completos de meteorología, usando el máximo por receptor.","Las simulaciones [...] se llevaron a cabo para cada generador individualmente, funcionando todos los días de 8:00 AM a 6:00 PM al 100 % de carga, durante los 3 años completos de meteorología.",08:00-18:00; 100% carga; 3 años meteorología; máximo por receptor.,El mismo documento informa cambio de modelo de generadores; la nueva evaluación de mantenimiento usa 75% de carga y 45/30 min según potencia.,respondido,no,,,El Informe Final evalúa el escenario de mantenimiento con ponderación de 45 min/mes para 2.750 kW y 30 min/mes para 1.000 kW.,Informe-Final.pdf,14-15,La operación queda sujeta a compromisos de la tramitación y a procedimientos de buenas prácticas de motores en PGAO.,5.a.iv,6,"cerrado, con metodología final refinada",texto nativo + Informe Final + Resolución OCR,El supuesto conservador descrito en la respuesta no equivale al patrón real de mantenimiento que DINACEA resume en el Informe Final.
SIC02-1D,02,1.d,2023-11-24,DOC007,Solicitud-de-Informacion-Complementaria-02.pdf,1-2,683-684,energía de respaldo / riesgo,"apagones, baterías y evento de 65 h",justificación metodológica + descripción técnica,Justificar exclusión de cortes <10 min y del evento de 65 h; indicar tiempo máximo sin generadores y sistemas de continuidad inmediata.,se solicita justificar la no inclusión de los eventos de escasa duración [...] revisar la no inclusión de este evento de corte de energía [...] indicar si el proyecto contará con sistemas que garanticen la continuidad [...] del tipo banco de baterías o similar.,DOC010,Respuestas-SIC-02-y-SIC-03.pdf,5,Se incluyen cortes <10 min en el análisis revisado; se mantiene excluido el evento de 65 h por atribuirlo a un ciclón subtropical. Generadores arrancan a 3 s; baterías por rack sostienen 40 s; si retorna UTE dentro de 10 s no se transfiere carga; generadores pueden funcionar hasta 5 min sin carga.,"Los generadores arrancan 3 segundos después de que se pierde el suministro eléctrico [...] los racks [...] tienen la capacidad de sostener la demanda [...] por un período de 40 segundos [...] el evento que duró 65 horas, fue descartado ya que fue consecuencia de daños en la línea por un ciclón subtropical.",3 s arranque; 40 s batería rack; 10 s ventana sin transferencia; hasta 5 min sin carga; evento 65 h sigue excluido.,,respondido con reserva metodológica,no sobre 65 h; sí se profundiza el plan de emergencia,Informe-Final.pdf; Resolucion-Ministerial-644-2024.pdf,"28, 32-33; Resolución p.6","DINACEA no reitera expresamente la inclusión del evento de 65 h, pero exige definir Plan de Emergencia, monitoreo y protocolo de desconexión como condición de AAO.",Informe-Final.pdf,28; 32-33,"Plan de Emergencia ante corte de suministro con protocolo de desconexión, monitoreo de aire y acciones comunitarias.",5.c,6,respuesta aceptada para evaluación; gestión de contingencia diferida a AAO,texto nativo + Informe Final + Resolución OCR,El evento extremo de 65 h quedó fuera del modelo; el expediente no muestra una reconsideración posterior explícita de esa exclusión.
SIC02-1E,02,1.e,2023-11-24,DOC007,Solicitud-de-Informacion-Complementaria-02.pdf,2,684,aire,cartografía de emergencia,mejora de presentación / trazabilidad,Mejorar mapas de emergencia para abarcar área de posible superación de AEGL1 y corregir referencias y escala cromática.,que los mapas asociados al funcionamiento de emergencia abarquen el área donde los resultados de la modelación prevén superación del valor de AEGL1 [...] se revise la modalidad de presentación gráfica.,DOC010,Respuestas-SIC-02-y-SIC-03.pdf,5,"Se presentan gráficos revisados que cubren el área de posible superación de AEGL1, con referencias y colores modificados.","todas las piezas cubren el área donde los resultados del modelado predicen que el valor de AEGL1 puede ser superado, incluyen la referencia [...] y modifican la selección de colores",,La nueva modelación usa el modelo de generadores actualizado.,respondido,no,,,No se identifica objeción posterior específica sobre la legibilidad cartográfica.,,,,,,cerrado,texto nativo,La verificación definitiva del contenido cartográfico es visual; el registro captura la respuesta textual del proponente.
SIC02-1F,02,1.f,2023-11-24,DOC007,Solicitud-de-Informacion-Complementaria-02.pdf,2,684,aire / salud / emergencia,Plan de Acción y NO2,plan de contingencia,"Definir Plan de Acción para contingencias con NO2, diferenciando medidas según Decreto 135/021 y niveles AEGL.",la empresa defina y presente un Plan de acción [...] diferenciando las medidas a adoptar en función de los estándares establecidos en el Decreto 135/021 así como los niveles guía de exposición aguda (AEGL).,DOC010,Respuestas-SIC-02-y-SIC-03.pdf,6,"Se proponen directrices para AAO: monitoreo perimetral de NO2, registro de fondo y árbol de decisión con 200, 260 y AEGL1 ~940 µg/m3; desconexión de carga al superar AEGL1.",200 µg/m3 [...] Se continúa con el monitoreo [...] 260 µg/m3 [...] se alertará a las partes interesadas [...] AEGL 1 [...] Se activa el protocolo de desconexión de carga.,200 µg/m3; 260 µg/m3; AEGL1 ~940 µg/m3; monitoreo perimetral; protocolo de desconexión.,,"parcial / lineamientos, detalle diferido a AAO","sí, con criterio modificado por DINACEA",Informe-Final.pdf; Resolucion-Ministerial-644-2024.pdf,28; 32-33; Resolución p.6,DINACEA considera insuficiente la justificación de estaciones y rechaza AEGL1 como umbral de corte por no ser precautorio; exige acciones desde 260 µg/m3 y plan detallado para AAO.,Informe-Final.pdf,28,"Plan de Emergencia debe incluir protocolo de desconexión, plan de monitoreo de calidad de aire y acciones hacia la comunidad si se supera 260 µg/m3 de NO2.",5.c,6,no cerrado en SIC; convertido en condición explícita de AAO,texto nativo + Informe Final + Resolución OCR,El umbral operativo propuesto por el proponente fue modificado materialmente por la autoridad: DINACEA no aceptó esperar hasta AEGL1 para activar acciones.
SIC02-2,02,2,2023-11-24,DOC007,Solicitud-de-Informacion-Complementaria-02.pdf,2,684,ruido,bajas frecuencias / nocturno,evaluación complementaria,"Complementar evaluación acústica normal con afectación al confort por bajas frecuencias, con énfasis nocturno.","complementar el análisis [...] con la evaluación de la potencial afectación al confort producto de las emisiones sonoras en bajas frecuencias, con énfasis en el período nocturno.",DOC010,Respuestas-SIC-02-y-SIC-03.pdf,7-8,"Se modelan 63 y 125 Hz en cinco receptores; al superar LCeq-LAeq 15 dB se aplica penalización de 6 dBA. Se reportan 67,6 dBA nocturnos en MR1 y 57,2 dBA en MR2; MR2 aumenta 2,1 dBA.","en todos los puntos estudiados, la diferencia entre LCeq y LAeq supera los 15 dB [...] debe considerarse 6 dBA más alta [...] MR1 [...] 67,6 [...] MR2 [...] 57,2","63/125 Hz; penalización 6 dBA; MR1 nocturno 67,6 dBA; MR2 nocturno 57,2 dBA; incremento MR2 2,1 dBA.",Evaluación actualizada asociada al cambio de generadores y fuentes de ruido.,respondido,"sí, como seguimiento/mitigación",Informe-Final.pdf; Resolucion-Ministerial-644-2024.pdf,"26-27, 33; Resolución p.4 y p.6",DINACEA cuestiona la robustez de la línea de base acústica y considera posible necesidad de mitigación en varios receptores; exige monitoreo exhaustivo en primer mes y resultados dentro de 45 días por módulo.,Informe-Final.pdf,26-27; 33,Monitoreo NPS en receptores sensibles; resultados dentro de 45 días del inicio de cada módulo; PGAO con programa de monitoreo y plan del primer mes.,1.d; 5.a.iii; 5.d,4; 6,"respondido técnicamente, pero condicionado a verificación operativa y posible mitigación",texto nativo + Informe Final + Resolución OCR,DINACEA no acepta sin reservas la caracterización de línea de base utilizada por el proponente.
SIC02-3,02,3,2023-11-24,DOC007,Solicitud-de-Informacion-Complementaria-02.pdf,3,685,efluentes,capacidad de PTE/PDLC,demostración de capacidad de tratamiento,Demostrar que PDLC puede gestionar aproximadamente 2 m3/h (48 m3/d) de efluentes domésticos del proyecto.,se deberá presentar la evaluación que el PDLC puede gestionar estos efluentes.,DOC010,Respuestas-SIC-02-y-SIC-03.pdf,9; Anexo I,Se adjunta nota técnica que concluye que la planta de tratamiento de PDLC tiene capacidad suficiente para recibir y tratar las aguas residuales del centro de datos.,se concluye que es suficiente para recibir y tratar adecuadamente las aguas residuales generadas en la operación del centro de datos.,48 m3/d Teros; capacidad PTE 410 m3/d; 331 m3/d ocupados; 79 m3/d remanentes; 31 m3/d remanentes luego de Teros.,,respondido,no para efluente doméstico,,,"El Informe Final concluye que PDLC cuenta con capacidad suficiente para recibir, tratar y disponer los 48 m3/d domésticos. Exige nota de aceptación de gestor para efluentes industriales, asunto distinto.",Informe-Final.pdf,21; 30,PGAO debe incluir nota de aceptación del gestor de efluentes industriales.,5.a.vi,6,cerrado para efluentes domésticos; gestión industrial condicionada a AAO,texto nativo + Informe Final + Resolución OCR,"No confundir el requerimiento sobre efluentes domésticos de 48 m3/d con los efluentes industriales, estimados en el Informe Final en hasta 4 m3/d."
