orden_cronologico,id_documento,archivo,titulo,tipo_documento,rol_expediente,nivel_decisorio,fecha_documento,fecha_orden,fecha_precision,fecha_fuente,fecha_caveat,emisor,actor_tipo,paginas_pdf,paginas_texto_nativo,paginas_ocr,paginas_texto_sustantivo,paginas_bajo_texto,metodo_extraccion,estado_cobertura,etapa_expediente,responde_a,respondido_por,temas_principales,funcion_en_evaluacion,resultado_o_efecto,candidatos_compromiso_detectados,observaciones_trazabilidad
1,DOC001,Declaracion-Viabilidad-Ambiental-de-Localizacion-CCP-Eleanor-Applications-S.R.L..pdf,Declaración de Viabilidad Ambiental de Localización / Certificado de Clasificación,VAL / clasificación,antecedente de localización y clasificación ambiental,antecedente administrativo,2020-10-28,2020-10-28,día,"Informe-Final.pdf, p.1; el archivo contiene firma 29/10/2020",El Informe Final consigna 28/10/2020; el PDF contiene firma 29/10/2020.,DINACEA / Ministerio de Ambiente,autoridad ambiental,2,0,2,2,0,OCR,revisado integralmente,Viabilidad ambiental de localización,,,localización; clasificación; aire; efluentes; ruido,Define la viabilidad ambiental de localización y la clasificación inicial del proyecto.,Antecedente habilitante para la posterior tramitación de AAP.,4,El Informe Final indica emisión el 28/10/2020; el PDF visible registra firma el 29/10/2020.
2,DOC002,DP-Teros-24102023.pdf,Documento de Proyecto — Proyecto Teros,Documento de Proyecto,documento técnico base del proyecto,documentación presentada por proponente,2023-10,2023-10-24,mes,"DP-Teros-24102023.pdf, portada, p.1-2","La portada indica octubre de 2023; 24/10/2023 se toma del nombre del archivo, no de una fecha expresa en portada.",Eleanor Applications S.R.L. / Estudio Ingeniería Ambiental,proponente / consultor,180,173,0,171,9,texto nativo + revisión de páginas con bajo texto,revisado integralmente,Solicitud de Autorización Ambiental Previa,,"SIC 01, SIC 02, SIC 03, SIC 04",proyecto; energía; refrigeración; agua; generadores; combustibles; residuos; efluentes; emisiones; tránsito,"Describe diseño, componentes, consumos, generación de residuos/emisiones y operación del Proyecto Teros.",Base técnica sobre la que DINACEA formula requerimientos complementarios.,79,La portada indica Octubre 2023.
3,DOC003,EsIA-Teros-24102023.pdf,Estudio de Impacto Ambiental — Proyecto Teros,EsIA,estudio de impacto ambiental base,documentación presentada por proponente,2023-10,2023-10-24,mes,"EsIA-Teros-24102023.pdf, portada, p.1-2",La portada indica octubre de 2023; 24/10/2023 se toma del nombre del archivo.,Eleanor Applications S.R.L. / Estudio Ingeniería Ambiental,proponente / consultor,406,400,0,387,19,texto nativo + revisión de páginas con bajo texto,revisado integralmente,Solicitud de Autorización Ambiental Previa,,"SIC 01, SIC 02, SIC 03, SIC 04",impactos; aire; ruido; agua; residuos; medio receptor; social; mitigación,"Identifica y evalúa impactos, receptores, significancia y medidas de gestión/mitigación.",Base ambiental principal de la SAAP y de las observaciones posteriores.,10,La portada indica Octubre 2023.
4,DOC004,Plan-de-Gestion-Ambiental-de-Construccion.pdf,Plan de Gestión Ambiental de Construcción,PGAC,plan de gestión de construcción,plan de gestión incorporado por referencia,2023-10-27,2023-10-27,firma,"Plan-de-Gestion-Ambiental-de-Construccion.pdf, p.1-2 (firma 27/10/2023)",Fecha basada en firma visible del documento.,Eleanor Applications S.R.L.,proponente,50,0,50,50,0,OCR,revisado integralmente,SAAP / gestión de construcción,,"Resolución Ministerial 644/2024, condición 1.c",construcción; residuos; efluentes; ruido; polvo; derrames; incendios; tránsito,"Organiza medidas de control ambiental durante obra: residuos, efluentes, tránsito, ruido, polvo, derrames y contingencias.",La resolución exige su actualización y aprobación antes de iniciar la construcción.,118,La Resolución exige actualización y aprobación previa a construcción.
5,DOC005,Plan-de-Gestion-de-Residuos.pdf,Plan de Gestión de Residuos,PGR,plan de gestión de residuos,plan aprobado / incorporado por referencia,2023-10-27,2023-10-27,firma,"Plan-de-Gestion-de-Residuos.pdf, p.1-2 (firma 27/10/2023)",Fecha basada en firma visible del documento.,Eleanor Applications S.R.L.,proponente,29,0,29,29,0,OCR,revisado integralmente,SAAP / gestión de residuos,,"Resolución Ministerial 644/2024, numeral 3",residuos; residuos especiales; e-waste; aceites; gestión,Define corrientes de residuos y criterios de manejo durante construcción/operación.,"El PGR es aprobado por la Resolución 644/2024, sujeto a los compromisos de la tramitación.",19,"El plan fue aprobado por la Resolución, sujeto a compromisos de la tramitación."
6,DOC006,Solicitud-de-Informacion-Complementaria-01.pdf,Solicitud de Información Complementaria 01,SIC,primer requerimiento de información complementaria,requerimiento técnico de DINACEA,2023-11-09,2023-11-09,día,"Solicitud-de-Informacion-Complementaria-01.pdf, p.1",Fecha expresa del documento.,"Área Evaluación de Impacto Ambiental, DINACEA",autoridad ambiental,1,1,0,1,0,texto nativo,revisado integralmente,Evaluación SAAP,DP + EsIA,Respuesta-a-SIC-01.pdf,energía; UTE; eficiencia energética; motores de respaldo; documentación,"Solicita información adicional sobre energía, UTE, eficiencia y motores de respaldo.",Origina Respuesta SIC 01 y una posterior reiteración sobre eficiencia específica de Teros.,2,Primera ronda de información complementaria.
7,DOC007,Solicitud-de-Informacion-Complementaria-02.pdf,Solicitud de Información Complementaria 02,SIC,segundo requerimiento de información complementaria,requerimiento técnico de DINACEA,2023-11-24,2023-11-24,día,"Solicitud-de-Informacion-Complementaria-02.pdf, p.1",Fecha expresa del documento.,"Área Evaluación de Impacto Ambiental, DINACEA",autoridad ambiental,3,3,0,3,0,texto nativo,revisado integralmente,Evaluación SAAP,DP + EsIA,Respuestas-SIC-02-y-SIC-03.pdf,aire; receptores; meteorología; apagones; baterías; plan de acción; ruido baja frecuencia; efluentes,"Amplía la evaluación sobre aire, receptores, meteorología, cortes eléctricos, baterías, ruido de baja frecuencia y efluentes.",Origina respuestas técnicas extensas y deja temas que luego son reiterados en SIC 04.,3,"Incluye subrequerimientos 1.a–1.f, ruido y efluentes."
8,DOC008,Respuesta-a-SIC-01.pdf,Respuesta a SIC 01,Respuesta SIC,respuesta del proponente a SIC 01,respuesta técnica del proponente,2023-12-07,2023-12-07,firma,"Respuesta-a-SIC-01.pdf, p.1-5 (firma 07/12/2023)",Fecha basada en firma del documento.,Eleanor Applications S.R.L. / Estudio Ingeniería Ambiental,proponente / consultor,5,0,5,4,1,OCR,revisado integralmente,Evaluación SAAP,SIC 01,SIC 03,consumo máximo; UTE; PUE; eficiencia; motores de respaldo,"Responde sobre consumo eléctrico, suministro UTE, PUE y documentación de generadores.",La respuesta sobre eficiencia no resulta suficientemente específica para el proyecto y conduce a SIC 03.,1,Documento escaneado; la respuesta energética fue luego considerada insuficientemente específica para Teros.
9,DOC009,Solicitud-de-Informacion-Complementaria-03.pdf,Solicitud de Información Complementaria 03,SIC,tercer requerimiento de información complementaria,requerimiento técnico de DINACEA,2023-12-20,2023-12-20,día,"Solicitud-de-Informacion-Complementaria-03.pdf, p.1",Fecha expresa del documento.,"Área Evaluación de Impacto Ambiental, DINACEA",autoridad ambiental,1,1,0,1,0,texto nativo,revisado integralmente,Evaluación SAAP,Respuesta a SIC 01,Respuestas-SIC-02-y-SIC-03.pdf,PUE; eficiencia energética; buenas prácticas de diseño y operación,Reitera la necesidad de información de eficiencia y PUE específica del Proyecto Teros.,Origina la respuesta específica sobre medidas de eficiencia y rango de PUE previsto.,0,"Reitera la necesidad de información específica del proyecto, no del promedio corporativo."
10,DOC010,Respuestas-SIC-02-y-SIC-03.pdf,Respuestas a SIC 02 y SIC 03,Respuesta SIC,respuesta consolidada a SIC 02 y SIC 03,respuesta técnica del proponente,2024-01-18,2024-01-18,día,"Respuestas-SIC-02-y-SIC-03.pdf, p.1",Documento fechado 18/01/2024; el Informe Final registra recepción el 19/01/2024.,Eleanor Applications S.R.L. / Estudio Ingeniería Ambiental,proponente / consultor,110,104,0,89,21,texto nativo + revisión de páginas con bajo texto,revisado integralmente,Evaluación SAAP,SIC 02; SIC 03,SIC 04 / Informe Final,aire; riesgo NO2; ruido; efluentes; generadores; energía; PUE; refrigeración,"Aporta modelaciones y precisiones sobre aire, NO2, apagones, ruido, efluentes, generadores, energía, PUE y refrigeración.",Resuelve múltiples requerimientos; la exclusión inicial de Parque de las Ciencias como receptor es luego objetada en SIC 04.,27,El Informe Final registra recepción el 19/01/2024.
