id_compromiso,nivel_fuente,naturaleza,tema,fase,accion_o_requisito_normalizado,indicador_parametro,umbral_valor,unidad,frecuencia_plazo,momento_cumplimiento,responsable_o_actor,autoridad_control,documento_fuente,pagina_pdf,folio,seccion_numeral,cita_fuente,estado_en_expediente,metodo_extraccion,relacion_con_otro,criterio_inclusion,caveat
COM001,AAP,condición explícita,cumplimiento general; compromisos de la tramitación,todas,Cumplir estrictamente los compromisos asumidos durante la tramitación ambiental.,cumplimiento de compromisos,,,continuo,construcción y operación,Eleanor Applications S.R.L.,DINACEA,Resolucion-Ministerial-644-2024.pdf,3,773,1 (encabezado),sujeto al estricto cumplimiento de los compromisos que surgen de la presente tramitación,vigente,OCR + revisión estructurada,Condición marco que incorpora por referencia compromisos de documentos previos.,"condición explícita de la Resolución Ministerial 644/2024, desagregada atómicamente",La Resolución no enumera en este punto cada compromiso previo; su alcance concreto debe trazarse documento por documento.
COM002,AAP,condición explícita,proyecto; conformidad con documentos aprobados,construcción y operación,Ejecutar el proyecto de acuerdo con la totalidad de los documentos presentados.,conformidad documental,,,continuo,construcción y operación,Eleanor Applications S.R.L.,DINACEA,Resolucion-Ministerial-644-2024.pdf,4,774,1.a,"El proyecto deberá construirse y operarse de acuerdo a lo estipulado en la totalidad de los documentos presentados, salvo en aquellos aspectos que contradigan las condiciones incluidas en esta Resolución.",vigente,OCR + revisión estructurada,COM001,"condición explícita de la Resolución Ministerial 644/2024, desagregada atómicamente",La Resolución prevalece sobre documentación previa incompatible.
COM003,AAP,condición explícita,construcción; inicio de obras,construcción,Notificar a DINACEA la fecha de inicio de obras.,fecha de inicio de obras,,,con antelación,antes del inicio de obras,Eleanor Applications S.R.L.,DINACEA,Resolucion-Ministerial-644-2024.pdf,4,774,1.b,"La titular del proyecto deberá comunicar a la Dirección Nacional de Calidad y Evaluación Ambiental, por escrito y con antelación, la fecha de inicio de las obras del proyecto.",vigente,OCR + revisión estructurada,,"condición explícita de la Resolución Ministerial 644/2024, desagregada atómicamente",No se fija un número mínimo de días de antelación.
COM004,AAP,condición explícita,construcción; PGA-C,construcción,Actualizar el PGA-C y obtener aprobación de DINACEA.,PGA-C aprobado,,,una vez,previo al inicio de construcción,Eleanor Applications S.R.L.,DINACEA,Resolucion-Ministerial-644-2024.pdf,4,774,1.c,"Previo al inicio de la fase de construcción del proyecto, la proponente deberá contar con la aprobación de la Dirección Nacional de Calidad y Evaluación Ambiental de la actualización del Plan de Gestión Ambiental de Construcción (PGA-C)",vigente,OCR + revisión estructurada,,"condición explícita de la Resolución Ministerial 644/2024, desagregada atómicamente","La resolución menciona mínimos obligatorios del PGA-C, desagregados en las filas siguientes."
COM005,AAP / PGA-C,contenido mínimo obligatorio,residuos; residuos de obra,construcción,Incluir programa de gestión de residuos de obra en el PGA-C.,programa incluido,,,antes de aprobación del PGA-C,previo a construcción,Eleanor Applications S.R.L.,DINACEA,Resolucion-Ministerial-644-2024.pdf,4,774,1.c,"que contenga, como mínimo, programas de gestión de residuos de obra",vigente,OCR + revisión estructurada,COM004,"condición explícita de la Resolución Ministerial 644/2024, desagregada atómicamente",El detalle operativo debe verificarse contra el PGA-C actualizado/aprobado.
COM006,AAP / PGA-C,contenido mínimo obligatorio,tránsito; manejo del tránsito,construcción,Incluir programa de manejo del tránsito en el PGA-C.,programa incluido,,,antes de aprobación del PGA-C,previo a construcción,Eleanor Applications S.R.L.,DINACEA,Resolucion-Ministerial-644-2024.pdf,4,774,1.c,"programas de gestión de residuos de obra, de manejo del tránsito",vigente,OCR + revisión estructurada,COM004,"condición explícita de la Resolución Ministerial 644/2024, desagregada atómicamente",El detalle operativo debe verificarse contra el PGA-C actualizado/aprobado.
COM007,AAP / PGA-C,contenido mínimo obligatorio,efluentes; gestión de efluentes,construcción,Incluir programa de gestión de efluentes en el PGA-C.,programa incluido,,,antes de aprobación del PGA-C,previo a construcción,Eleanor Applications S.R.L.,DINACEA,Resolucion-Ministerial-644-2024.pdf,4,774,1.c,"programas de gestión de residuos de obra, de manejo del tránsito, de gestión de efluentes",vigente,OCR + revisión estructurada,COM004,"condición explícita de la Resolución Ministerial 644/2024, desagregada atómicamente",El detalle operativo debe verificarse contra el PGA-C actualizado/aprobado.
COM008,AAP / PGA-C,contenido mínimo obligatorio,social; relacionamiento comunitario,construcción,Incluir programa de relacionamiento comunitario en el PGA-C.,programa incluido,,,antes de aprobación del PGA-C,previo a construcción,Eleanor Applications S.R.L.,DINACEA,Resolucion-Ministerial-644-2024.pdf,4,774,1.c,"programas de gestión de residuos de obra, de manejo del tránsito, de gestión de efluentes y de relacionamiento comunitario.",vigente,OCR + revisión estructurada,COM004,"condición explícita de la Resolución Ministerial 644/2024, desagregada atómicamente",La Resolución no especifica aquí indicadores sociales ni frecuencia de relacionamiento.
COM009,AAP,condición explícita,ruido; monitoreo NPS,operación,Entregar a DINACEA resultados y análisis de NPS.,NPS en receptores sensibles,,,≤45 días desde inicio de cada módulo,inicio de operación de cada módulo,Eleanor Applications S.R.L.,DINACEA,Resolucion-Ministerial-644-2024.pdf,4,774,1.d,"deberá presentar, en un plazo no mayor a 45 (cuarenta y cinco) días de iniciada la operación de cada módulo del data center, los resultados y análisis del monitoreo de NPS en los receptores sensibles",vigente,OCR + revisión estructurada,COM029,"condición explícita de la Resolución Ministerial 644/2024, desagregada atómicamente",La resolución no fija en este numeral un valor límite de NPS; remite al monitoreo y eventual mitigación.
COM010,AAP,condición contingente,ruido; mitigación acústica,operación,Preparar y someter a evaluación/aprobación medidas de mitigación.,proyecto ejecutivo y cronograma,,,junto con reporte NPS cuando corresponda,posterior al inicio de cada módulo,Eleanor Applications S.R.L.,DINACEA,Resolucion-Ministerial-644-2024.pdf,4,774,1.d,"y, en caso de corresponder, el proyecto ejecutivo y cronograma de implementación de las medidas de mitigación propuestas, para su evaluación y aprobación",vigente,OCR + revisión estructurada,COM009,"condición explícita de la Resolución Ministerial 644/2024, desagregada atómicamente",La condición 'en caso de corresponder' depende del resultado del monitoreo y evaluación de DINACEA.
