id_dato,tema,subtema,variable,valor_texto,valor_numerico,valor_min,valor_max,operador,unidad,fase_escenario,receptor_localizacion,version_documental,estado_version,id_documento,fuente_documento,pagina_pdf,seccion_tabla,actor_fuente,tipo_evidencia,estado_verificacion,contexto,relacion_cambio,caveat
DAT001,energía,demanda,Consumo máximo anual proyectado,<560,560,,,<,GWh/año,desarrollo máximo,,tramitación complementaria,vigente/usable con caveat según fila,DOC008,Respuesta-a-SIC-01.pdf,1-2,Respuesta a SIC 01,Eleanor Applications S.R.L.,dato declarado,verificado,El proponente informa consumo máximo anual al desarrollo máximo.,,No confundir con el acuerdo inicial de suministro ni con potencia máxima.
DAT002,energía,suministro eléctrico,Acuerdo inicial de suministro con UTE,hasta 420,420,,,<=,GWh/año,etapa inicial,,tramitación complementaria,vigente/usable con caveat según fila,DOC008,Respuesta-a-SIC-01.pdf,1-2,Respuesta a SIC 01,Eleanor Applications S.R.L.,dato declarado,verificado,La respuesta distingue este acuerdo inicial del consumo máximo al desarrollo máximo.,,"Es un volumen anual de energía, no potencia."
DAT003,energía,suministro eléctrico,Potencia máxima informada por UTE,48,48,,,=,MW,suministro previsto,,tramitación complementaria,vigente/usable con caveat según fila,DOC008,Respuesta-a-SIC-01.pdf,5,Nota de UTE adjunta,UTE,dato de tercero,verificado,UTE informa una demanda máxima con curva plana.,,Magnitud distinta de GWh/año; no comparar directamente sin factor de carga.
DAT004,energía,eficiencia,PUE corporativo promedio 2022,1.10,1.1,,,=,adimensional,referencia corporativa 2022,,tramitación complementaria,vigente/usable con caveat según fila,DOC008,Respuesta-a-SIC-01.pdf,1-2,Respuesta a SIC 01,Eleanor Applications S.R.L.,dato corporativo,verificado con caveat,PUE citado inicialmente como desempeño corporativo.,,No es PUE específico del Proyecto Teros; DINACEA pidió posteriormente información específica.
DAT005,energía,eficiencia,PUE previsto para Teros,1.12-1.35,,1.12,1.35,rango,adimensional,operación prevista,,tramitación complementaria,vigente/usable con caveat según fila,DOC010,Respuestas-SIC-02-y-SIC-03.pdf,107-108,Respuesta a SIC 03,Eleanor Applications S.R.L.,proyección de diseño,verificado,Rango previsto presentado al responder sobre eficiencia específica del proyecto.,,Es una previsión; la Resolución exige medición posterior del PUE.
DAT006,energía,eficiencia,Eficiencia mínima VFD,96,96,,,≥,%,diseño/operación,,tramitación complementaria,vigente/usable con caveat según fila,DOC010,Respuestas-SIC-02-y-SIC-03.pdf,107-108,Respuesta a SIC 03,Eleanor Applications S.R.L.,especificación prevista,verificado,Se incluye entre las buenas prácticas de eficiencia energética.,,La fuente lo presenta como característica prevista.
DAT007,energía,eficiencia,Eficiencia prevista de transformadores primarios/secundarios,99,99,,,=,%,diseño/operación,,tramitación complementaria,vigente/usable con caveat según fila,DOC010,Respuestas-SIC-02-y-SIC-03.pdf,107-108,Respuesta a SIC 03,Eleanor Applications S.R.L.,especificación prevista,verificado,Eficiencia de transformadores incluida en respuesta sobre buenas prácticas.,,La fuente lo presenta como valor previsto.
DAT008,energía,eficiencia,Eficiencia prevista de transformadores de distribución,98,98,,,=,%,diseño/operación,,tramitación complementaria,vigente/usable con caveat según fila,DOC010,Respuestas-SIC-02-y-SIC-03.pdf,107-108,Respuesta a SIC 03,Eleanor Applications S.R.L.,especificación prevista,verificado,Eficiencia de distribución incluida en respuesta sobre buenas prácticas.,,La fuente lo presenta como valor previsto.
DAT009,refrigeración,tecnología,Sistema de refrigeración indicado en respuesta de eficiencia,chillers enfriados por aire,,,,,categórico,diseño/operación,,tramitación complementaria,vigente/usable con caveat según fila,DOC010,Respuestas-SIC-02-y-SIC-03.pdf,107-108,Respuesta a SIC 03,Eleanor Applications S.R.L.,descripción técnica,verificado,La respuesta menciona chillers enfriados por aire entre las medidas específicas de Teros.,,Este registro no cuantifica consumo de agua ni WUE.
DAT010,refrigeración,eficiencia,Uso de free cooling,sí,,,,,booleano,diseño/operación,,tramitación complementaria,vigente/usable con caveat según fila,DOC010,Respuestas-SIC-02-y-SIC-03.pdf,107-108,Respuesta a SIC 03,Eleanor Applications S.R.L.,descripción técnica,verificado,Free cooling citado como práctica de eficiencia.,,No se consigna en la evidencia recuperada un porcentaje anual de utilización.
